Month,Location,Hiring,Attrition,Closed,,,,,,,
Jan-17,chennai,55,46,516,,,,,,,
Jan-17,Delhi,66,59,461,,,,,,,
Jan-17,bangalore,65,27,235,,,,,,,
,,,,,,,,,,,
Feb-17,chennai,57,55,518,,,,,,,
Feb-17,Delhi,51,50,462,,,,,,,
Feb-17,bangalore,61,33,263,,,,,,,
,,,,,,,,,,,
Mar-17,chennai,93,75,536,,,,,,,
Mar-17,Delhi,86,69,479,,,,,,,
Mar-17,bangalore,26,56,233,,,,,,,
,,,,,,,,,,,
Apr-17,chennai,89,95,530,,,,,,,
Apr-17,Delhi,84,55,508,,,,,,,
Apr-17,Bangalore,29,48,214,,,,,,,
,,,,,,,,,,,
May-17,chennai,76,97,509,,,,,,,
May-17,Delhi,70,94,484,,,,,,,
May-17,Bangalore,13,23,204,,,,,,,
,,,,,,,,,,,
Jun-17,chennai,76,78,507,,,,,,,
Jun-17,Delhi,133,180,437,,,,,,,
Jun-17,Bangalore,15,20,199,,,,,,,
,,,,,,,,,,,
Jul-17,chennai,70,63,514,,,,,,,
Jul-17,Delhi,52,75,414,,,,,,,
Jul-17,Bangalore,44,32,211,,,,,,,
,,,,,,,,,,,
Aug-17,chennai,92,74,532,,,,,,,
Aug-17,Delhi,107,54,467,,,,,,,
Aug-17,Bangalore,90,23,278,,,,,,,
,,,,,,,,,,,
Sep-17,chennai,140,74,598,,,,,,,
Sep-17,Delhi,75,45,497,,,,,,,
Sep-17,Bangalore,50,42,286,,,,,,,
,,,,,,,,,,,
Oct-17,chennai,55,85,568,,,,,,,
Oct-17,Delhi,24,60,461,,,,,,,
Oct-17,Bangalore,62,32,316,,,,,,,
,,,,,,,,,,,
Nov-17,chennai,24,73,519,,,,,,,
Nov-17,Delhi,60,70,451,,,,,,,
Nov-17,Bangalore,35,55,296,,,,,,,
,,,,,,,,,,,
Dec-17,chennai,21,67,473,,,,,,,
Dec-17,Delhi,58,49,460,,,,,,,
Dec-17,Bangalore,45,34,307,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
